filled;close_reason;pnl_r;hold_bars;ambiguous;exit_price;exit_time;position_id;split;split_row_id;entry_id;mask_id;exit_id;stop_policy_id;stop_family;entry_floor_atr;fractal0_buffer_atr;stop_source;stop_distance_atr;risk_distance_atr;side;entry_effective_price;entry_bid_equivalent;protective_stop_price;r_value;signal_time;fill_time;fill_index;filter_id;spread;score_cutoff_on_val_select;entry_filter_score_col;tp_distance_atr
True;ML_CLOSE;0.4137499999999932;8;False;1778.12;2021-09-22 19:00:00;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:1470;val_eval;1470;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;1.9999999999999885;1.9999999999999885;BUY;1774.81;1774.61;1766.81;8.0;2021-09-22 05:00:00;2021-09-22 11:00:00;100118;simple_r_value_top30;0.2;2.0384615384615645;r_value_atr;
True;ML_CLOSE;0.253750000000025;6;False;1775.99;2021-09-22 20:00:00;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:1472;val_eval;1472;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;1.9999999999999885;1.9999999999999885;BUY;1773.9599999999998;1773.7599999999998;1765.9599999999998;8.0;2021-09-22 08:00:00;2021-09-22 14:00:00;100121;simple_r_value_top30;0.2;2.0384615384615645;r_value_atr;
True;ML_CLOSE;-0.6837500000000034;7;False;1767.02;2021-09-22 21:00:00;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:1474;val_eval;1474;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;1.9999999999999885;1.9999999999999885;BUY;1772.49;1772.29;1764.49;8.0;2021-09-22 12:00:00;2021-09-22 14:00:00;100121;simple_r_value_top30;0.2;2.0384615384615645;r_value_atr;
True;ML_CLOSE;-0.43250000000000455;0;False;1767.02;2021-09-22 21:00:00;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:1475;val_eval;1475;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;1.9999999999999885;1.9999999999999885;BUY;1770.48;1770.28;1762.48;8.0;2021-09-22 16:00:00;2021-09-22 21:00:00;100128;simple_r_value_top30;0.2;2.0384615384615645;r_value_atr;
True;ML_CLOSE;-0.1624999999999659;1;False;1763.42;2021-09-23 04:00:00;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:1479;val_eval;1479;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;1.9999999999999885;1.9999999999999885;BUY;1764.7199999999998;1764.5199999999998;1756.7199999999998;8.0;2021-09-22 23:00:00;2021-09-23 03:00:00;100133;simple_r_value_top30;0.2;2.0384615384615645;r_value_atr;
True;ML_CLOSE;-0.14999999999997726;0;False;1763.75;2021-09-23 15:00:00;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:1483;val_eval;1483;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;1.9999999999999885;1.9999999999999885;BUY;1764.9499999999998;1764.7499999999998;1756.9499999999998;8.0;2021-09-23 11:00:00;2021-09-23 15:00:00;100145;simple_r_value_top30;0.2;2.0384615384615645;r_value_atr;
True;SL;-1.0;0;False;1738.02;2021-09-23 23:00:00;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:1485;val_eval;1485;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;1.9999999999999885;1.9999999999999885;BUY;1746.02;1745.82;1738.02;8.0;2021-09-23 19:00:00;2021-09-23 23:00:00;100153;simple_r_value_top30;0.2;2.0384615384615645;r_value_atr;
True;SL;-1.0;0;False;1738.9399999999998;2021-09-23 23:00:00;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:1487;val_eval;1487;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;1.9999999999999885;1.9999999999999885;BUY;1746.9399999999998;1746.7399999999998;1738.9399999999998;8.0;2021-09-23 21:00:00;2021-09-23 23:00:00;100153;simple_r_value_top30;0.2;2.0384615384615645;r_value_atr;
True;ML_CLOSE;-0.06097560975609722;0;False;1749.5;2021-09-24 14:00:00;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:1489;val_eval;1489;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;2.0;2.0;BUY;1750.0;1749.8;1741.8;8.200000000000045;2021-09-24 09:00:00;2021-09-24 14:00:00;100167;simple_r_value_top30;0.2;2.0384615384615645;r_value_atr;
True;ML_CLOSE;-0.22195121951218613;0;False;1749.5;2021-09-24 14:00:00;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:1491;val_eval;1491;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;2.0;2.0;BUY;1751.32;1751.12;1743.12;8.200000000000045;2021-09-24 11:00:00;2021-09-24 14:00:00;100167;simple_r_value_top30;0.2;2.0384615384615645;r_value_atr;
