profile,model_key,seed,target_family,split,year,horizon,spearman,top10_lift,top_n,rest_n
atr_only,extra_trees_small,43,entry_movement,val_select,2021,3,0.25028082451990724,1.3236816950453036,269,2417
atr_only,extra_trees_small,43,entry_movement,val_select,2022,3,0.2755740970292986,1.6527669025453364,252,2267
atr_only,extra_trees_small,43,entry_movement,val_select,2023,3,0.19204462948949033,1.0896588727022194,145,1298
atr_only,extra_trees_small,43,entry_movement,val_eval,2023,3,0.2436205957331221,1.2470896657363035,124,1112
atr_only,extra_trees_small,43,entry_movement,val_eval,2024,3,0.28762019709677866,1.2208057449806844,273,2450
atr_only,extra_trees_small,43,entry_movement,val_eval,2025,3,0.3799141114927635,0.938426012466813,269,2418
atr_only,extra_trees_small,44,entry_movement,val_select,2021,3,0.25044827552559357,1.3409283585507066,269,2417
atr_only,extra_trees_small,44,entry_movement,val_select,2022,3,0.2746501274908627,1.656386996285411,252,2267
atr_only,extra_trees_small,44,entry_movement,val_select,2023,3,0.19008350195254806,1.0896588727022194,145,1298
atr_only,extra_trees_small,44,entry_movement,val_eval,2023,3,0.252782722802606,1.2563521689684825,124,1112
atr_only,extra_trees_small,44,entry_movement,val_eval,2024,3,0.28487783257169963,1.273816995807854,273,2450
atr_only,extra_trees_small,44,entry_movement,val_eval,2025,3,0.421024415810676,0.950447152596735,269,2418
atr_only,extra_trees_small,42,entry_movement,val_select,2021,6,0.20305427454804884,1.2628278819478291,269,2417
atr_only,extra_trees_small,42,entry_movement,val_select,2022,6,0.257667083832527,1.6259455986077478,252,2267
atr_only,extra_trees_small,42,entry_movement,val_select,2023,6,0.16664975174018945,1.1914210871570974,145,1298
atr_only,extra_trees_small,42,entry_movement,val_eval,2023,6,0.25793596840286703,1.4063805158514884,124,1112
atr_only,extra_trees_small,42,entry_movement,val_eval,2024,6,0.3055870179844847,1.2823711864744758,273,2450
atr_only,extra_trees_small,42,entry_movement,val_eval,2025,6,0.37202245844643217,0.987266286858067,269,2418
atr_only,extra_trees_small,43,entry_movement,val_select,2021,6,0.20342308137808768,1.2465708073014166,269,2417
atr_only,extra_trees_small,43,entry_movement,val_select,2022,6,0.26603704508586384,1.6470358044748163,252,2267
atr_only,extra_trees_small,43,entry_movement,val_select,2023,6,0.17769874981141845,1.234491088092646,145,1298
atr_only,extra_trees_small,43,entry_movement,val_eval,2023,6,0.2495716459759853,1.273585519776326,124,1112
atr_only,extra_trees_small,43,entry_movement,val_eval,2024,6,0.30449794152465914,1.2454868640659849,273,2450
atr_only,extra_trees_small,43,entry_movement,val_eval,2025,6,0.3287875762374039,1.0327233711247408,269,2418
atr_only,extra_trees_small,44,entry_movement,val_select,2021,6,0.20759741113236846,1.234723032004575,269,2417
atr_only,extra_trees_small,44,entry_movement,val_select,2022,6,0.26078174908852975,1.609767467982125,252,2267
atr_only,extra_trees_small,44,entry_movement,val_select,2023,6,0.1702412645298518,1.1179310852223832,145,1298
atr_only,extra_trees_small,44,entry_movement,val_eval,2023,6,0.2583397234047873,1.3976313764228494,124,1112
atr_only,extra_trees_small,44,entry_movement,val_eval,2024,6,0.3007860544944274,1.2742262748863582,273,2450
atr_only,extra_trees_small,44,entry_movement,val_eval,2025,6,0.37469957443073737,1.0033872608761871,269,2418
atr_only,extra_trees_small,42,entry_movement,val_select,2021,12,0.1814851264986646,1.210023752755093,269,2417
atr_only,extra_trees_small,42,entry_movement,val_select,2022,12,0.23953530015872251,1.5711859115233004,252,2267
atr_only,extra_trees_small,42,entry_movement,val_select,2023,12,0.15943408426188677,1.1914346755185634,145,1298
atr_only,extra_trees_small,42,entry_movement,val_eval,2023,12,0.2657762449412437,1.2517183565799346,124,1112
atr_only,extra_trees_small,42,entry_movement,val_eval,2024,12,0.3162762595821332,1.2015008364478958,273,2450
atr_only,extra_trees_small,42,entry_movement,val_eval,2025,12,0.20530664032629764,0.8427045274511415,269,2418
atr_only,extra_trees_small,43,entry_movement,val_select,2021,12,0.1791779486817536,1.210023752755093,269,2417
atr_only,extra_trees_small,43,entry_movement,val_select,2022,12,0.24330417133599447,1.609624275089066,252,2267
atr_only,extra_trees_small,43,entry_movement,val_select,2023,12,0.16070271946624354,1.1941948786006196,145,1298
atr_only,extra_trees_small,43,entry_movement,val_eval,2023,12,0.2511826247937639,1.2517183565799344,124,1112
atr_only,extra_trees_small,43,entry_movement,val_eval,2024,12,0.3164772337427025,1.1977558808435795,273,2450
atr_only,extra_trees_small,43,entry_movement,val_eval,2025,12,0.1985523401704422,0.8721248097868001,269,2418
atr_only,extra_trees_small,44,entry_movement,val_select,2021,12,0.18107706372006582,1.2155750556207647,269,2417
atr_only,extra_trees_small,44,entry_movement,val_select,2022,12,0.23962124684517472,1.6135188196902386,252,2267
atr_only,extra_trees_small,44,entry_movement,val_select,2023,12,0.161121787095281,1.1904540011988132,145,1298
atr_only,extra_trees_small,44,entry_movement,val_eval,2023,12,0.2653495924545361,1.2459701009791122,124,1112
atr_only,extra_trees_small,44,entry_movement,val_eval,2024,12,0.3142348611375058,1.27255099782705,273,2450
atr_only,extra_trees_small,44,entry_movement,val_eval,2025,12,0.29292719389355354,0.9141090878870337,269,2418
atr_only,extra_trees_small,42,entry_movement,val_select,2021,24,0.14277318282667176,1.134273581474545,269,2417
atr_only,extra_trees_small,42,entry_movement,val_select,2022,24,0.2140042017967797,1.6209083126367034,252,2267
atr_only,extra_trees_small,42,entry_movement,val_select,2023,24,0.19480061547599498,1.2523788952852772,145,1298
atr_only,extra_trees_small,42,entry_movement,val_eval,2023,24,0.3325200204429689,0.9661560870079978,124,1112
atr_only,extra_trees_small,42,entry_movement,val_eval,2024,24,0.30083223914822926,1.1856316820210697,273,2450
atr_only,extra_trees_small,42,entry_movement,val_eval,2025,24,0.040929535344837446,0.8097168179724428,269,2418
atr_only,extra_trees_small,43,entry_movement,val_select,2021,24,0.1425112504845386,1.1547749263943692,269,2417
atr_only,extra_trees_small,43,entry_movement,val_select,2022,24,0.21858268767729555,1.603778574926837,252,2267
atr_only,extra_trees_small,43,entry_movement,val_select,2023,24,0.19762984767868877,1.3074098615949017,145,1298
atr_only,extra_trees_small,43,entry_movement,val_eval,2023,24,0.3333063198546326,0.9684603176879375,124,1112
atr_only,extra_trees_small,43,entry_movement,val_eval,2024,24,0.29987681737010746,1.162155964097819,273,2450
atr_only,extra_trees_small,43,entry_movement,val_eval,2025,24,0.011580500026324013,0.864804987703296,269,2418
atr_only,extra_trees_small,44,entry_movement,val_select,2021,24,0.14615421149634877,1.1727607047458204,269,2417
atr_only,extra_trees_small,44,entry_movement,val_select,2022,24,0.21453110595917108,1.60438668447864,252,2267
atr_only,extra_trees_small,44,entry_movement,val_select,2023,24,0.19388575418835083,1.2523788952852772,145,1298
atr_only,extra_trees_small,44,entry_movement,val_eval,2023,24,0.3325200204429689,0.9661560870079978,124,1112
atr_only,extra_trees_small,44,entry_movement,val_eval,2024,24,0.30210324580448855,1.1526085986675159,273,2450
atr_only,extra_trees_small,44,entry_movement,val_eval,2025,24,0.09345725936028777,0.880470993695312,269,2418
time_only_clean,ridge_regression,42,entry_movement,val_select,2021,3,0.4072238009673732,1.9555938737446454,269,2417
time_only_clean,ridge_regression,42,entry_movement,val_select,2022,3,0.4541964919275708,1.8038777945794775,252,2267
time_only_clean,ridge_regression,42,entry_movement,val_select,2023,3,0.45945446538627366,2.1284081192600146,145,1298
time_only_clean,ridge_regression,42,entry_movement,val_eval,2023,3,0.42372342118161854,1.8127410328630595,124,1112
time_only_clean,ridge_regression,42,entry_movement,val_eval,2024,3,0.35148484530643864,1.829157915120461,273,2450
time_only_clean,ridge_regression,42,entry_movement,val_eval,2025,3,0.12400247599193782,1.2988813716602876,269,2418
time_only_clean,ridge_regression,42,entry_movement,val_select,2021,6,0.45659019633183445,1.7451063885650169,269,2417
time_only_clean,ridge_regression,42,entry_movement,val_select,2022,6,0.4599294805941181,1.5060373978395878,252,2267
time_only_clean,ridge_regression,42,entry_movement,val_select,2023,6,0.5081022970184136,1.8517294130076418,145,1298
time_only_clean,ridge_regression,42,entry_movement,val_eval,2023,6,0.4638924979222358,1.5597513324870687,124,1112
time_only_clean,ridge_regression,42,entry_movement,val_eval,2024,6,0.3569757091906101,1.6437125409837399,273,2450
time_only_clean,ridge_regression,42,entry_movement,val_eval,2025,6,0.14372268781452818,1.249311656385018,269,2418
time_only_clean,ridge_regression,42,entry_movement,val_select,2021,12,0.43792306690691685,1.4892080475867022,269,2417
time_only_clean,ridge_regression,42,entry_movement,val_select,2022,12,0.3539780756174173,1.3334238109731027,252,2267
time_only_clean,ridge_regression,42,entry_movement,val_select,2023,12,0.4392251095753519,1.5747493833944353,145,1298
time_only_clean,ridge_regression,42,entry_movement,val_eval,2023,12,0.41242626013396033,1.3058512252260586,124,1112
time_only_clean,ridge_regression,42,entry_movement,val_eval,2024,12,0.3238620017961879,1.335488688435106,273,2450
time_only_clean,ridge_regression,42,entry_movement,val_eval,2025,12,0.10109157885444638,1.078380290576243,269,2418
time_only_clean,ridge_regression,42,entry_movement,val_select,2021,24,0.1773637138306236,1.146468314806468,269,2417
time_only_clean,ridge_regression,42,entry_movement,val_select,2022,24,0.1194346220952271,1.0389090877474065,252,2267
time_only_clean,ridge_regression,42,entry_movement,val_select,2023,24,0.15027033779448468,1.0854281547119424,145,1298
time_only_clean,ridge_regression,42,entry_movement,val_eval,2023,24,-0.0005296291611283357,1.0470901690122516,124,1112
time_only_clean,ridge_regression,42,entry_movement,val_eval,2024,24,0.17350455395376385,1.1165841527143747,273,2450
time_only_clean,ridge_regression,42,entry_movement,val_eval,2025,24,0.033936929703034836,1.0236536188573473,269,2418
time_only_clean,hist_gradient_boosting,42,entry_movement,val_select,2021,3,0.49547386240856034,2.0579372018191346,269,2417
time_only_clean,hist_gradient_boosting,42,entry_movement,val_select,2022,3,0.4881171061963884,1.910157219022576,252,2267
