profile,model_key,seed,horizon,target_family,split,top_frac,top_n,rest_n,top_mean,rest_mean,lift,lift_ci_p05,lift_ci_p50,lift_ci_p95
atr_only,ridge_regression,42,24,entry_movement,val_eval,0.05,333.0,6313.0,78.03792792792795,32.060727071123075,2.434066069518938,1.9562123351927407,2.373446992049437,2.91356249958821
atr_only,ridge_regression,42,24,entry_movement,val_eval,0.1,665.0,5981.0,74.24592481203008,29.93018893161679,2.4806366903217345,2.1460072529305014,2.4588682837624027,2.8719853608969848
atr_only,ridge_regression,42,24,entry_movement,val_eval,0.2,1330.0,5316.0,66.04627819548874,26.438007900677203,2.4981563831742775,2.179196309975723,2.4567714633676907,2.7466172043207715
atr_only,ridge_regression,42,24,entry_movement,low_n_disclosure,0.05,59.0,1103.0,116.64627118644059,121.46677243880325,0.9603142393958701,0.5779407945704613,0.9379256547629422,1.5100285488811163
atr_only,ridge_regression,42,24,entry_movement,low_n_disclosure,0.1,117.0,1045.0,140.50923076923067,119.0625837320574,1.1801291922694837,0.7914140562012134,1.1356453162975035,1.508972260447803
atr_only,ridge_regression,42,24,entry_movement,low_n_disclosure,0.2,233.0,929.0,145.8300429184549,115.0501399354144,1.2675346853147624,1.0107800379941885,1.2164740287277238,1.5581935582371418
atr_only,hist_gradient_boosting,42,3,entry_movement,val_select,0.05,333.0,6315.0,9.532672672672668,6.210775930324624,1.5348601816608145,1.3435809914661443,1.5069136572128436,1.7346687714534315
atr_only,hist_gradient_boosting,42,3,entry_movement,val_select,0.1,665.0,5983.0,8.65863157894737,6.123590172154438,1.4139795994709812,1.2962852518765176,1.3971444000321007,1.5276890564941648
atr_only,hist_gradient_boosting,42,3,entry_movement,val_select,0.2,1330.0,5318.0,8.084180451127818,5.950257615644979,1.358626965977427,1.2711977237005712,1.3524573933039044,1.4353893582348094
atr_only,hist_gradient_boosting,42,3,entry_movement,val_eval,0.05,333.0,6313.0,15.547177177177156,10.878227467131316,1.42920133120521,1.2596804657609764,1.465065786588121,1.7641413369432681
atr_only,hist_gradient_boosting,42,3,entry_movement,val_eval,0.1,665.0,5981.0,19.22881203007517,10.209714094633005,1.8833839862551371,1.7077505256519265,1.9671334014289306,2.2331173556522477
atr_only,hist_gradient_boosting,42,3,entry_movement,val_eval,0.2,1330.0,5316.0,21.3460977443609,8.55175884123401,2.496106139176474,2.159552610299643,2.4381064676117936,2.679647426834078
atr_only,hist_gradient_boosting,42,3,entry_movement,low_n_disclosure,0.05,59.0,1103.0,24.656779661017012,40.33914777878515,0.611236999755962,0.6546274583154531,0.9413086502701693,1.7809101535100458
atr_only,hist_gradient_boosting,42,3,entry_movement,low_n_disclosure,0.1,117.0,1045.0,24.564273504273515,41.2199138755981,0.5959321889514037,0.6881004995124399,0.9542694619865186,1.5097424558635277
atr_only,hist_gradient_boosting,42,3,entry_movement,low_n_disclosure,0.2,233.0,929.0,26.014120171673813,42.93599569429497,0.6058813764770893,0.7237707832515138,0.9881823463883872,1.3846308980981268
atr_only,hist_gradient_boosting,43,3,entry_movement,val_select,0.05,333.0,6315.0,9.505525525525526,6.21220744259699,1.5301365276932504,1.335326128957844,1.5094738224377326,1.7353072757450672
