original_rank;rule_id;profile_id;model_id;target_id;filter_id;period;n_trades;gross_profit;gross_loss;pf;mean_pnl_r;median_pnl_r;max_drawdown_r;win_rate;ambiguous_same_bar_rate;exit_reason_counts
6;rank06_time_only_linear_target_entry_good_0_5r_top50;time_only;linear;target_entry_good_0_5r;top50;2022Q3;160;79.86211624482672;22.05947981966356;3.620308225656281;0.36126647765726966;0.0791049953746418;3.1119005328596785;0.5875;0.0;{'ML_CLOSE': 105, 'TIME': 47, 'SL': 8}
6;rank06_time_only_linear_target_entry_good_0_5r_top50;time_only;linear;target_entry_good_0_5r;top50;2022Q4;107;32.5691258798268;14.544131447067159;2.2393311005446392;0.1684578918949499;-0.0092592592592719;5.734665727829617;0.4672897196261682;0.0;{'ML_CLOSE': 82, 'TIME': 23, 'SL': 2}
7;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;movement_plus_time;linear;target_entry_good_0_5r;top40;2021Q1;20;8.141176118726417;1.866045946670759;4.362795103331305;0.3137565086027828;0.0131825075834186;0.5328193033381741;0.55;0.0;{'ML_CLOSE': 13, 'TIME': 7}
7;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;movement_plus_time;linear;target_entry_good_0_5r;top40;2021Q2;94;55.65249310647397;7.117537067794744;7.819066142737633;0.5163293195604173;0.0959523809523764;0.8680061037639817;0.6063829787234043;0.0;{'ML_CLOSE': 62, 'TIME': 32}
7;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;movement_plus_time;linear;target_entry_good_0_5r;top40;2021Q3;120;37.95528257484117;20.112752494014664;1.8871252249604449;0.1486877506735542;-0.0622222222222414;5.7166005314879555;0.4;0.0;{'ML_CLOSE': 93, 'TIME': 22, 'SL': 5}
7;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;movement_plus_time;linear;target_entry_good_0_5r;top40;2021Q4;149;56.149709674337075;14.869109224890085;3.776265869400266;0.27705100972783214;0.0161764705882206;2.560210397942619;0.5369127516778524;0.0;{'ML_CLOSE': 109, 'TIME': 39, 'SL': 1}
7;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;movement_plus_time;linear;target_entry_good_0_5r;top40;2022Q1;146;61.76852495254714;22.79156960947103;2.710147919206023;0.2669654475553159;-0.035638297872338104;5.207183039586695;0.410958904109589;0.0;{'ML_CLOSE': 109, 'TIME': 28, 'SL': 9}
7;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;movement_plus_time;linear;target_entry_good_0_5r;top40;2022Q2;169;89.33764392878084;22.25958891796457;4.01344536316576;0.3969115681113388;0.0224489795918396;2.151554856743542;0.5207100591715976;0.0;{'ML_CLOSE': 116, 'TIME': 48, 'SL': 5}
7;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;movement_plus_time;linear;target_entry_good_0_5r;top40;2022Q3;161;77.82977646616479;22.033006507571017;3.5324174410523956;0.3465637885626942;0.0499999999999814;2.923492907801478;0.5714285714285714;0.0;{'ML_CLOSE': 107, 'TIME': 46, 'SL': 8}
7;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;movement_plus_time;linear;target_entry_good_0_5r;top40;2022Q4;120;38.0702252533404;17.238121503559647;2.2084903651177394;0.1736008645815063;-0.006712962962967349;4.951575984239886;0.475;0.0;{'ML_CLOSE': 89, 'TIME': 28, 'SL': 3}
