representation,model_key,seed,split_name,pred_entry_up_3,pred_entry_dn_3,pred_entry_log_ratio_3,pred_entry_up_6,pred_entry_dn_6,pred_entry_log_ratio_6,pred_entry_up_12,pred_entry_dn_12,pred_entry_log_ratio_12,pred_entry_up_24,pred_entry_dn_24,pred_entry_log_ratio_24,time
nearest_k80_sequence,transformer_medium,42,val_eval,1.6401211023330688,1.9408009052276611,-0.0780976191163063,2.332319736480713,2.5945537090301514,-0.07281183451414108,3.4125068187713623,3.8823750019073486,-0.12056407332420349,5.720043659210205,7.4190778732299805,-0.23538418114185333,2023.07.17 16:00
nearest_k80_sequence,sequence_flat_hist_gradient_boosting,42,val_eval,1.62349271774292,1.5973807573318481,0.001353970030322671,3.361222267150879,2.6556591987609863,0.0411590039730072,4.186090469360352,3.9299983978271484,-0.0477110855281353,7.348191261291504,7.6296796798706055,0.22412653267383575,2023.07.17 02:00
nearest_k80_sequence,sequence_flat_hist_gradient_boosting,42,val_eval,2.1482677459716797,1.847527027130127,-0.02692239359021187,3.2422659397125244,3.27557373046875,0.0271205622702837,4.926995277404785,6.009430885314941,-0.2533053159713745,7.5914764404296875,10.999597549438477,-0.010503929108381271,2023.07.17 04:00
nearest_k80_sequence,sequence_flat_hist_gradient_boosting,42,val_eval,1.6757060289382935,1.7946159839630127,0.004955848678946495,3.0388176441192627,3.0349950790405273,-0.005964009091258049,4.661500930786133,5.116627216339111,-0.02603689581155777,7.555739402770996,7.4687581062316895,0.1659933179616928,2023.07.17 06:00
nearest_k80_sequence,sequence_flat_hist_gradient_boosting,42,val_eval,3.6388816833496094,3.18428373336792,-0.1610649675130844,3.782933235168457,4.5520734786987305,0.03944133594632149,4.901079177856445,6.076929092407227,-0.22697599232196808,7.080071449279785,10.790822982788086,-0.056028544902801514,2023.07.17 08:00
nearest_k80_sequence,sequence_flat_hist_gradient_boosting,42,val_eval,2.4027013778686523,2.530694007873535,-0.09719134867191315,4.153331756591797,4.318081855773926,-0.06304502487182617,4.338568687438965,4.70969295501709,-0.05670957639813423,6.5191826820373535,9.058170318603516,0.2929266095161438,2023.07.17 10:00
nearest_k80_sequence,sequence_flat_hist_gradient_boosting,42,val_eval,3.066330671310425,3.5282764434814453,-0.07096841931343079,4.284513473510742,5.096938610076904,0.11953640729188919,4.153584957122803,6.250081539154053,0.04835577309131622,7.341616630554199,8.482177734375,-0.35289573669433594,2023.07.17 13:00
nearest_k80_sequence,sequence_flat_hist_gradient_boosting,42,val_eval,3.1205291748046875,3.570518732070923,-0.11214487254619598,3.9033923149108887,4.596536636352539,-0.07229889929294586,4.022313594818115,6.065066337585449,-0.061040278524160385,7.507097244262695,8.505053520202637,-0.2846064567565918,2023.07.17 15:00
nearest_k80_sequence,sequence_flat_hist_gradient_boosting,42,val_eval,2.8985683917999268,2.9505248069763184,-0.018123768270015717,4.063704013824463,3.6166512966156006,-0.05140025168657303,5.4275898933410645,3.8303117752075195,-0.05748977139592171,8.228897094726562,8.705554008483887,0.18736498057842255,2023.07.17 16:00
nearest_k60_sequence,transformer_small,42,val_eval,1.5751324892044067,1.5859078168869019,0.012798215262591839,2.384294033050537,2.4208920001983643,0.007349087856709957,4.244290828704834,4.724897861480713,-0.0380689837038517,6.669040203094482,7.811828136444092,-0.07401132583618164,2023.07.17 02:00
nearest_k60_sequence,transformer_small,42,val_eval,1.688822627067566,1.6577534675598145,0.023418018594384193,2.5742297172546387,2.5800740718841553,0.01790335401892662,4.710328578948975,4.93971586227417,-0.006712161935865879,7.197339057922363,7.246879577636719,-0.0009240470826625824,2023.07.17 04:00
nearest_k60_sequence,transformer_small,42,val_eval,1.677229404449463,1.7020283937454224,0.0065923575311899185,2.61501145362854,2.8258306980133057,-0.01930827461183071,4.904281139373779,5.683660984039307,-0.0737871527671814,7.110635757446289,7.77196741104126,-0.06951922923326492,2023.07.17 06:00
nearest_k60_sequence,transformer_small,42,val_eval,1.9920556545257568,2.0991599559783936,-0.008375698700547218,3.2862393856048584,3.5621626377105713,-0.02694043517112732,5.560768127441406,6.050408840179443,-0.042952362447977066,7.659989356994629,7.909869194030762,-0.030585356056690216,2023.07.17 08:00
nearest_k60_sequence,transformer_small,42,val_eval,2.046839714050293,2.2977538108825684,-0.04635053128004074,3.3879599571228027,3.9441475868225098,-0.0797358900308609,5.224982738494873,6.044517993927002,-0.09517315775156021,7.10245943069458,7.911167144775391,-0.09408563375473022,2023.07.17 10:00
nearest_k60_sequence,transformer_small,42,val_eval,2.9715805053710938,2.9181160926818848,0.029907753691077232,4.099980354309082,3.8799026012420654,0.045116111636161804,5.206892490386963,4.831646919250488,0.06002425402402878,7.600515842437744,7.1682233810424805,0.06413254141807556,2023.07.17 13:00
nearest_k60_sequence,transformer_small,42,val_eval,2.7842516899108887,2.717716693878174,0.030974259600043297,3.6060633659362793,3.361531972885132,0.046628765761852264,4.611959457397461,4.271697998046875,0.05425458773970604,7.526449203491211,7.199970245361328,0.050006117671728134,2023.07.17 15:00
nearest_k60_sequence,transformer_small,42,val_eval,2.4833850860595703,2.4804768562316895,0.016456974670290947,3.2451906204223633,3.120345115661621,0.02883685566484928,4.452326774597168,4.206715106964111,0.03941051661968231,7.588030815124512,7.418224334716797,0.029685186222195625,2023.07.17 16:00
nearest_k60_sequence,transformer_medium,42,val_eval,1.7565377950668335,1.2890981435775757,0.20919975638389587,3.0759036540985107,1.8203377723693848,0.38872525095939636,7.507170677185059,2.677365779876709,0.8105236887931824,13.16598129272461,3.629063606262207,1.117179274559021,2023.07.17 02:00
nearest_k60_sequence,transformer_medium,42,val_eval,2.106269598007202,1.6620324850082397,0.15751828253269196,3.4637093544006348,2.3933703899383545,0.27948230504989624,6.207345008850098,3.5275890827178955,0.49937713146209717,9.716653823852539,4.895648002624512,0.6635617613792419,2023.07.17 04:00
nearest_k60_sequence,transformer_medium,42,val_eval,2.6950647830963135,1.6021300554275513,0.3583098351955414,5.544125556945801,2.219752311706543,0.6942474246025085,11.346944808959961,3.039580821990967,1.192598819732666,15.991272926330566,3.3935489654541016,1.4512643814086914,2023.07.17 06:00
nearest_k60_sequence,transformer_medium,42,val_eval,2.9470407962799072,2.3386452198028564,0.16764238476753235,5.1185197830200195,3.521348476409912,0.3033933937549591,7.388585090637207,4.592430591583252,0.4307614266872406,9.339637756347656,5.553130149841309,0.5176973342895508,2023.07.17 08:00
