left_rule_id;right_rule_id;fill_overlap_ratio;signal_overlap_ratio;fill_jaccard;signal_jaccard;same_direction_ratio;fill_bucket_pnl_corr;shared_fill_bucket_count;left_trade_count_at_shared_fills;right_trade_count_at_shared_fills;mixed_direction_bucket_count;fill_daily_pnl_corr;fill_weekly_pnl_corr;exit_daily_pnl_corr;exit_weekly_pnl_corr;exit_drawdown_overlap_ratio;exit_co_loss_ratio;exit_staggered_gain_ratio;benchmark_system_correlation_parity;redundancy_verdict
rank03_time_only_linear_target_entry_ev_regression_top50;rank05_time_only_linear_target_entry_avoid_sl_top30;0.7773549000951475;0.7593722755013078;0.3740842490842491;0.36141078838174273;0.9951040391676866;0.9552209727232807;817.0;954.0;950.0;11.0;0.5604769968523878;0.593402124064287;0.5503530664471611;0.5944092194180736;0.5045703839122486;0.4765258215962441;0.4951267056530214;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;partial_overlap
rank03_time_only_linear_target_entry_ev_regression_top50;rank06_time_only_linear_target_entry_good_0_5r_top50;0.9087179487179488;0.9020618556701031;0.825722273998136;0.813953488372093;0.994920993227991;0.9829035758843173;1772.0;2030.0;2032.0;28.0;0.9122740746672231;0.9121502177161424;0.9078492550524736;0.911219534694368;0.8173076923076923;0.8209718670076727;0.14228456913827656;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;strong_duplicate
rank03_time_only_linear_target_entry_ev_regression_top50;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;1.0;1.0;0.26205128205128203;0.2478912839737582;0.9902152641878669;0.9470468772216721;511.0;609.0;549.0;5.0;0.3984713413937705;0.455543799465399;0.361498485424953;0.49712157588539624;0.3985239852398524;0.37922705314009664;0.67;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;partial_overlap
rank03_time_only_linear_target_entry_ev_regression_top50;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;1.0;1.0;0.20205128205128206;0.1888472352389878;0.9923857868020305;0.9389781349059878;394.0;480.0;418.0;3.0;0.3637776835801364;0.3713657450487978;0.3327307947819066;0.4266522606290347;0.3358070500927644;0.31234866828087166;0.7258064516129032;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;partial_overlap
rank03_time_only_linear_target_entry_ev_regression_top50;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;0.7230769230769231;0.6935332708528584;0.5512118842845973;0.5216778286922806;0.9929078014184397;0.9491227063252456;1410.0;1628.0;1633.0;26.0;0.6911817160736412;0.7097779636217776;0.6770569531617796;0.6841526605073633;0.5895652173913043;0.526431718061674;0.34265734265734266;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;partial_overlap
rank03_time_only_linear_target_entry_ev_regression_top50;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;1.0;1.0;0.11846153846153847;0.10824742268041238;0.987012987012987;0.9286739659248395;231.0;286.0;241.0;3.0;0.2708356782764469;0.2400636137670626;0.2469600209333814;0.2980300876384914;0.18878504672897195;0.16136919315403422;0.8260869565217391;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;partial_overlap
rank03_time_only_linear_target_entry_ev_regression_top50;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;1.0;1.0;0.32666666666666666;0.31208997188378634;0.9968602825745683;0.9517011730118357;637.0;747.0;693.0;8.0;0.5894519177984565;0.6318662307492033;0.5631585949762427;0.6435984201283466;0.4550359712230216;0.44019138755980863;0.578;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;partial_overlap
rank04_time_only_linear_target_entry_good_0_5r_top40;rank05_time_only_linear_target_entry_avoid_sl_top30;0.780209324452902;0.7585004359197908;0.4640633842671194;0.45194805194805193;0.9951219512195122;0.949366641605238;820.0;939.0;953.0;11.0;0.6630484087254069;0.6828986673280039;0.6587638654254069;0.6807598913582082;0.4981751824817518;0.5024154589371981;0.46496815286624205;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;partial_overlap
rank04_time_only_linear_target_entry_good_0_5r_top40;rank06_time_only_linear_target_entry_good_0_5r_top50;1.0;1.0;0.7804878048780488;0.764378478664193;0.998046875;0.9880620453860804;1536.0;1707.0;1789.0;18.0;0.906099575390894;0.8918567246671683;0.9069115725435755;0.8871449604207251;0.7626168224299066;0.7803030303030303;0.18219461697722567;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;strong_duplicate
rank04_time_only_linear_target_entry_good_0_5r_top40;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;1.0;1.0;0.3326822916666667;0.32099514563106796;0.9921722113502935;0.94972700924445;511.0;601.0;549.0;4.0;0.5173946601232291;0.6018653755997242;0.4902650135034054;0.6210139274177547;0.41044776119402987;0.40648379052369077;0.6311111111111111;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;partial_overlap
rank04_time_only_linear_target_entry_good_0_5r_top40;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;1.0;1.0;0.2565104166666667;0.2445388349514563;0.9949238578680203;0.9426917043976649;394.0;470.0;418.0;2.0;0.44813486548942877;0.49783156113529065;0.4211682595652308;0.5274208531505956;0.3370577281191806;0.3408521303258145;0.6928251121076233;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;partial_overlap
rank04_time_only_linear_target_entry_good_0_5r_top40;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;0.7454427083333334;0.7050970873786407;0.47530095475300954;0.4353690520794305;0.994759825327511;0.956759759203632;1145.0;1287.0;1331.0;16.0;0.6326146342605221;0.5852245259616775;0.6186169813426945;0.586105251276096;0.52;0.4816414686825054;0.40602836879432624;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;partial_overlap
rank04_time_only_linear_target_entry_good_0_5r_top40;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;1.0;1.0;0.150390625;0.14016990291262135;0.9913419913419913;0.9364495240499298;231.0;275.0;241.0;2.0;0.32219397476071715;0.36781018707287394;0.30174484069891033;0.395528190299221;0.19622641509433963;0.1848101265822785;0.7981438515081206;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;partial_overlap
rank04_time_only_linear_target_entry_good_0_5r_top40;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;1.0;1.0;0.4147135416666667;0.404126213592233;0.9984301412872841;0.9535035778197946;637.0;735.0;693.0;7.0;0.6927525786590856;0.7554417142176787;0.6796081887428059;0.7512750686458894;0.4834558823529412;0.49122807017543857;0.5288888888888889;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;partial_overlap
rank05_time_only_linear_target_entry_avoid_sl_top30;rank06_time_only_linear_target_entry_good_0_5r_top50;0.8610846812559467;0.8509154315605929;0.4280983916745506;0.4194241512677267;0.9955801104972376;0.9678183247055351;905.0;1046.0;1060.0;14.0;0.6835910546320545;0.704812633393416;0.686937755663341;0.7072405808500282;0.5099818511796733;0.4953051643192488;0.4678714859437751;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;partial_overlap
rank05_time_only_linear_target_entry_avoid_sl_top30;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;0.9217221135029354;0.9243856332703214;0.4317140238313474;0.4119629317607414;0.9936305732484076;0.9496283336811664;471.0;559.0;508.0;3.0;0.6223771103932259;0.6607086407116669;0.6152335777069224;0.682999879998463;0.5176470588235295;0.5308641975308642;0.530791788856305;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;partial_overlap
rank05_time_only_linear_target_entry_avoid_sl_top30;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;0.8984771573604061;0.9007444168734491;0.3244729605866178;0.3058129738837405;0.9943502824858758;0.9405130715454908;354.0;427.0;377.0;2.0;0.5464017022607771;0.5824909241098797;0.5332833387753584;0.6102233535920022;0.43498817966903075;0.4458204334365325;0.6153846153846154;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;partial_overlap
rank05_time_only_linear_target_entry_avoid_sl_top30;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;0.8449096098953378;0.8108108108108109;0.40715268225584594;0.3875;0.9966216216216216;0.9220330287845723;888.0;1027.0;1016.0;17.0;0.6283637902011938;0.6029167321870152;0.6098107274580412;0.6111841658604812;0.48608534322820035;0.4507042253521127;0.47766990291262135;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;partial_overlap
rank05_time_only_linear_target_entry_avoid_sl_top30;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;0.8268398268398268;0.8268398268398268;0.17506874427131072;0.16090985678180286;0.9895287958115183;0.928888522325017;191.0;231.0;200.0;2.0;0.391375710018855;0.4429572317468079;0.3740746733721168;0.5027268491597338;0.2364066193853428;0.2578616352201258;0.7638036809815951;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;partial_overlap
rank05_time_only_linear_target_entry_avoid_sl_top30;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;0.8351648351648352;0.8318318318318318;0.4602076124567474;0.4400317712470214;0.9943609022556391;0.9623535373227884;532.0;624.0;585.0;7.0;0.6521672494619389;0.7241176547111333;0.6448411710103398;0.708574855834171;0.5364238410596026;0.55;0.4548022598870056;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;partial_overlap
rank06_time_only_linear_target_entry_good_0_5r_top50;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;1.0;1.0;0.25965447154471544;0.2453617810760668;0.9902152641878669;0.9447703464245096;511.0;617.0;549.0;5.0;0.46392399825087366;0.5159020196877453;0.43969878174828536;0.5581573687505544;0.3894927536231884;0.3591549295774648;0.6827309236947792;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;partial_overlap
