filled;close_reason;pnl_r;hold_bars;ambiguous;exit_price;exit_time;position_id;split;split_row_id;entry_id;mask_id;exit_id;side;entry_effective_price;entry_bid_equivalent;protective_stop_price;r_value;signal_time;fill_time;fill_index;metric_split;metric_spread
True;ML_CLOSE;0.3166666666665561;0;False;1766.84;2020-06-26 18:00:00;E3_open_pullback_1_0atr:2821;val_select;2821;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1767.6;1767.6;1770.0;2.400000000000091;2020-06-26 12:00:00;2020-06-26 18:00:00;92808;val_select;0.2
True;SL;-1.0;0;False;1755.06;2020-06-26 16:00:00;E3_open_pullback_1_0atr:2822;val_select;2822;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;BUY;1757.66;1757.46;1755.06;2.6000000000001364;2020-06-26 14:00:00;2020-06-26 16:00:00;92806;val_select;0.2
True;ML_CLOSE;-0.3458333333333847;0;False;1766.84;2020-06-26 18:00:00;E3_open_pullback_1_0atr:2823;val_select;2823;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1766.01;1766.01;1768.41;2.400000000000091;2020-06-26 15:00:00;2020-06-26 18:00:00;92808;val_select;0.2
True;SL;-1.0;0;False;1774.71;2020-06-29 01:00:00;E3_open_pullback_1_0atr:2825;val_select;2825;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1772.31;1772.31;1774.71;2.400000000000091;2020-06-26 21:00:00;2020-06-29 01:00:00;92814;val_select;0.2
True;ML_CLOSE;0.6423076923075991;1;False;1769.31;2020-06-29 12:00:00;E3_open_pullback_1_0atr:2829;val_select;2829;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;BUY;1767.64;1767.44;1765.04;2.6000000000001364;2020-06-29 06:00:00;2020-06-29 11:00:00;92824;val_select;0.2
True;ML_CLOSE;3.287499999999917;20;False;1766.05;2020-06-30 14:00:00;E3_open_pullback_1_0atr:2832;val_select;2832;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1773.94;1773.94;1776.34;2.400000000000091;2020-06-29 15:00:00;2020-06-29 17:00:00;92830;val_select;0.2
True;TIME;5.094117647059007;24;False;1779.38;2020-07-01 15:00:00;E3_open_pullback_1_0atr:2839;val_select;2839;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;BUY;1766.39;1766.1899999999998;1763.84;2.5499999999999545;2020-06-30 07:00:00;2020-06-30 14:00:00;92850;val_select;0.2
True;SL;-1.0;0;False;1765.64;2020-06-30 14:00:00;E3_open_pullback_1_0atr:2840;val_select;2840;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;BUY;1768.19;1767.99;1765.64;2.5499999999999545;2020-06-30 09:00:00;2020-06-30 14:00:00;92850;val_select;0.2
True;SL;-1.0;0;False;1780.64;2020-06-30 17:00:00;E3_open_pullback_1_0atr:2841;val_select;2841;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1778.29;1778.29;1780.64;2.349999999999909;2020-06-30 10:00:00;2020-06-30 17:00:00;92853;val_select;0.2
True;SL;-1.0;0;False;1777.47;2020-06-30 17:00:00;E3_open_pullback_1_0atr:2842;val_select;2842;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1775.12;1775.12;1777.47;2.349999999999909;2020-06-30 12:00:00;2020-06-30 17:00:00;92853;val_select;0.2
True;SL;-1.0;0;False;1787.51;2020-07-01 10:00:00;E3_open_pullback_1_0atr:2847;val_select;2847;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1785.26;1785.26;1787.51;2.25;2020-07-01 03:00:00;2020-07-01 10:00:00;92869;val_select;0.2
True;ML_CLOSE;-0.2844444444444889;0;False;1787.99;2020-07-01 10:00:00;E3_open_pullback_1_0atr:2849;val_select;2849;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1787.35;1787.35;1789.6;2.25;2020-07-01 05:00:00;2020-07-01 10:00:00;92869;val_select;0.2
True;SL;-1.0;0;False;1776.89;2020-07-01 14:00:00;E3_open_pullback_1_0atr:2850;val_select;2850;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;BUY;1779.34;1779.14;1776.89;2.450000000000045;2020-07-01 08:00:00;2020-07-01 14:00:00;92873;val_select;0.2
True;TIME;6.675555555555548;24;False;1773.21;2020-07-02 12:00:00;E3_open_pullback_1_0atr:2851;val_select;2851;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1788.23;1788.23;1790.48;2.25;2020-07-01 09:00:00;2020-07-01 11:00:00;92870;val_select;0.2
True;ML_CLOSE;-0.0754458161865666;15;False;1772.87;2020-07-02 14:00:00;E3_open_pullback_1_0atr:2853;val_select;2853;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1771.77;1771.77;1786.35;14.579999999999927;2020-07-01 16:00:00;2020-07-01 22:00:00;92881;val_select;0.2
True;ML_CLOSE;0.0430107526881937;0;False;1768.13;2020-07-02 02:00:00;E3_open_pullback_1_0atr:2856;val_select;2856;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;BUY;1767.97;1767.77;1764.25;3.7200000000000273;2020-07-01 22:00:00;2020-07-02 02:00:00;92884;val_select;0.2
True;ML_CLOSE;0.2695652173912622;1;False;1772.87;2020-07-02 14:00:00;E3_open_pullback_1_0atr:2859;val_select;2859;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1773.49;1773.49;1775.79;2.2999999999999545;2020-07-02 06:00:00;2020-07-02 13:00:00;92895;val_select;0.2
True;SL;-1.0;0;False;1760.85;2020-07-02 15:00:00;E3_open_pullback_1_0atr:2861;val_select;2861;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;BUY;1763.35;1763.15;1760.85;2.5;2020-07-02 09:00:00;2020-07-02 15:00:00;92897;val_select;0.2
True;ML_CLOSE;0.6652173913043491;0;False;1775.74;2020-07-02 17:00:00;E3_open_pullback_1_0atr:2862;val_select;2862;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1777.27;1777.27;1779.57;2.2999999999999545;2020-07-02 14:00:00;2020-07-02 17:00:00;92899;val_select;0.2
True;TIME;5.639999999999963;24;False;1784.56;2020-07-07 06:00:00;E3_open_pullback_1_0atr:2876;val_select;2876;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;BUY;1770.46;1770.26;1767.96;2.5;2020-07-03 18:00:00;2020-07-06 05:00:00;92929;val_select;0.2
True;TIME;5.662499999999846;24;False;1784.56;2020-07-07 06:00:00;E3_open_pullback_1_0atr:2878;val_select;2878;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;BUY;1770.9699999999998;1770.7699999999998;1768.5699999999997;2.400000000000091;2020-07-06 02:00:00;2020-07-06 05:00:00;92929;val_select;0.2
True;ML_CLOSE;0.5272727272727535;0;False;1776.19;2020-07-06 10:00:00;E3_open_pullback_1_0atr:2879;val_select;2879;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1777.35;1777.35;1779.5500000000002;2.200000000000045;2020-07-06 04:00:00;2020-07-06 10:00:00;92934;val_select;0.2
True;ML_CLOSE;0.3272727272727329;0;False;1776.19;2020-07-06 10:00:00;E3_open_pullback_1_0atr:2881;val_select;2881;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1776.91;1776.91;1779.11;2.200000000000045;2020-07-06 07:00:00;2020-07-06 10:00:00;92934;val_select;0.2
True;SL;-1.0;0;False;1783.39;2020-07-06 15:00:00;E3_open_pullback_1_0atr:2883;val_select;2883;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1781.19;1781.19;1783.39;2.200000000000045;2020-07-06 11:00:00;2020-07-06 15:00:00;92939;val_select;0.2
True;SL;-1.0;0;False;1782.46;2020-07-06 15:00:00;E3_open_pullback_1_0atr:2884;val_select;2884;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1780.26;1780.26;1782.46;2.200000000000045;2020-07-06 13:00:00;2020-07-06 15:00:00;92939;val_select;0.2
True;ML_CLOSE;3.5201612903225623;15;False;1777.99;2020-07-07 14:00:00;E3_open_pullback_1_0atr:2886;val_select;2886;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1786.72;1786.72;1789.2;2.480000000000018;2020-07-06 17:00:00;2020-07-06 22:00:00;92946;val_select;0.2
True;SL;-1.0;0;False;1777.28;2020-07-07 11:00:00;E3_open_pullback_1_0atr:2891;val_select;2891;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;BUY;1779.58;1779.38;1777.28;2.2999999999999545;2020-07-07 07:00:00;2020-07-07 11:00:00;92958;val_select;0.2
True;ML_CLOSE;-0.0663716814159764;0;False;1785.09;2020-07-07 16:00:00;E3_open_pullback_1_0atr:2893;val_select;2893;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1784.94;1784.94;1787.1999999999998;2.2599999999997635;2020-07-07 10:00:00;2020-07-07 16:00:00;92963;val_select;0.2
True;SL;-1.0;0;False;1800.4399999999998;2020-07-08 11:00:00;E3_open_pullback_1_0atr:2899;val_select;2899;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1798.39;1798.39;1800.4399999999998;2.0499999999999545;2020-07-08 04:00:00;2020-07-08 11:00:00;92981;val_select;0.2
True;ML_CLOSE;-0.4097560975610557;0;False;1799.73;2020-07-08 11:00:00;E3_open_pullback_1_0atr:2902;val_select;2902;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1798.89;1798.89;1800.9399999999998;2.0499999999999545;2020-07-08 09:00:00;2020-07-08 11:00:00;92981;val_select;0.2
True;SL;-1.0;0;False;1809.77;2020-07-08 17:00:00;E3_open_pullback_1_0atr:2904;val_select;2904;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1807.72;1807.72;1809.77;2.0499999999999545;2020-07-08 15:00:00;2020-07-08 17:00:00;92987;val_select;0.2
True;ML_CLOSE;0.0311111111110828;2;False;1808.45;2020-07-08 23:00:00;E3_open_pullback_1_0atr:2907;val_select;2907;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;BUY;1808.38;1808.18;1806.13;2.25;2020-07-08 19:00:00;2020-07-08 21:00:00;92991;val_select;0.2
True;ML_CLOSE;0.6769230769231451;0;False;1811.54;2020-07-09 08:00:00;E3_open_pullback_1_0atr:2911;val_select;2911;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1812.86;1812.86;1814.81;1.9500000000000453;2020-07-09 02:00:00;2020-07-09 08:00:00;93001;val_select;0.2
True;ML_CLOSE;0.661538461538544;0;False;1811.54;2020-07-09 08:00:00;E3_open_pullback_1_0atr:2913;val_select;2913;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1812.83;1812.83;1814.78;1.9500000000000453;2020-07-09 05:00:00;2020-07-09 08:00:00;93001;val_select;0.2
True;SL;-1.0;0;False;1805.61;2020-07-09 13:00:00;E3_open_pullback_1_0atr:2914;val_select;2914;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;BUY;1807.76;1807.56;1805.61;2.150000000000091;2020-07-09 07:00:00;2020-07-09 13:00:00;93006;val_select;0.2
True;SL;-1.0;0;False;1801.95;2020-07-09 18:00:00;E3_open_pullback_1_0atr:2918;val_select;2918;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;BUY;1804.1;1803.9;1801.95;2.150000000000091;2020-07-09 14:00:00;2020-07-09 18:00:00;93011;val_select;0.2
True;SL;-1.0;0;False;1802.95;2020-07-09 18:00:00;E3_open_pullback_1_0atr:2919;val_select;2919;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;BUY;1808.22;1808.02;1802.95;5.269999999999754;2020-07-09 16:00:00;2020-07-09 18:00:00;93011;val_select;0.2
True;ML_CLOSE;-0.0201775625504437;12;False;1805.21;2020-07-10 11:00:00;E3_open_pullback_1_0atr:2920;val_select;2920;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1804.96;1804.96;1817.35;12.3900000000001;2020-07-09 18:00:00;2020-07-09 22:00:00;93015;val_select;0.2
